 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Solens kærtegn har sluppet de sarte blade ud af deres skjul, og midt i det hele gemmer løfterne om kommende blomster sig.
1-1	Solens	B-noun.object	
61-19	gemt	B-verb.stative	
61-20	i	O	
61-21	Ferie	B-noun.communication	
61-22	,	O	
61-23	Rejser	B-noun.communication	
61-24	,	O	
61-25	Teenageren	B-noun.communication	
61-26	.	O	
61-27	Du	O	
61-28	kan	O	
61-29	følge	B-verb.cognition	
61-30	alle	O	
61-31	svar	B-noun.communication	
61-32	til	O	
61-33	dette	O	
61-34	indlæg	B-noun.communication	
61-35	via	O	
61-36	RSS	O	
61-37	2	O	
61-38	.	O	
61-39	0	O	
61-40	-	O	
61-41	feedet	O	
61-42	.	O	

#id=62
#text=Og selv om de altid har været i mine haver.
62-1	Og	O	
62-2	selv	O	
62-3	om	O	
62-4	de	O	
62-5	altid	O	
62-6	har	O	
62-7	været	B-verb.stative	
62-8	i	O	
62-9	mine	O	
62-10	haver	B-noun.location	
62-11	.	O	

#id=63
#text=Helst hos fiskehandleren, men den vakuumpakkede fra supermarkedet er også jævnligt kommet på panden.
63-1	Helst	O	
63-2	hos	O	
63-3	fiskehandleren	B-noun.building	
63-4	,	O	
63-5	men	O	
63-6	den	O	
63-7	vakuumpakkede	B-adj.phys	
63-8	fra	O	
63-9	supermarkedet	B-noun.building	
63-10	er	O	
63-11	også	O	
63-12	jævnligt	O	
63-13	kommet	B-verb.motion	
63-14	på	O	
63-15	panden	B-noun.artifact	
63-16	.	O	

#id=64
#text=Et unuanceret, stereotypt studie i afstumpethed og indskrænkethed.
64-1	Et	O	
64-2	unuanceret	B-adj.all	
64-3	,	O	
64-4	stereotypt	B-adj.all	
64-5	studie	B-noun.act	
64-6	i	O	
64-7	afstumpethed	B-noun.feeling	
64-8	og	O	
64-9	indskrænkethed	B-noun.feeling	
64-10	.	O	

#id=65
#text=Men så fandt jeg en håndfuld minutter, som kan bruges, inden jeg fistrer ud af døren .
65-1	Men	O	
65-2	så	O	
65-3	fandt	B-verb.cognition	
65-4	jeg	O	
65-5	en	O	
65-6	håndfuld	B-noun.quantity	
65-7	minutter	B-noun.time	
65-8	,	O	
65-9	som	O	
65-10	kan	O	
65-11	bruges	B-verb.act	
65-12	,	O	
65-13	inden	O	
65-14	jeg	O	
65-15	fistrer	B-verb.motion	
65-16	ud	O	
65-17	af	O	
65-18	døren	B-noun.artifact	
65-19	.	O	

#id=66
#text=Først på Metalskolen i Jørlunde, hvor Væksthus Hovedstadsregionen holdt Power Tour 2010 (og nej, det er ikke lige så poppet, som navnet lyder ), et fire timers arrangement med fokus på virksomhedsvækst og så selvfølgelig netværkeri.
66-1	Først	O	
66-2	på	O	
66-3	Metalskolen	B-noun.building	
66-4	i	O	
66-5	Jørlunde	B-noun.location	
66-6	,	O	
66-7	hvor	O	
66-8	Væksthus	B-noun.institution	
66-9	Hovedstadsregionen	I-noun.institution	
66-10	holdt	O	
66-11	Power	B-noun.event	
66-12	Tour	I-noun.event	
66-13	2010	I-noun.event	
66-14	(	O	
66-15	og	O	
66-16	nej	O	
66-17	,	O	
66-18	det	O	
66-19	er	B-verb.stative	
66-20	ikke	O	
66-21	lige	O	
66-22	så	O	
66-23	poppet	B-adj.social	
66-24	,	O	
66-25	som	O	
66-26	navnet	B-noun.communication	
66-27	lyder	B-verb.cognition	
66-28	)	O	
66-29	,	O	
66-30	et	O	
66-31	fire	O	
66-32	timers	B-noun.time	
66-33	arrangement	B-noun.event	
66-34	med	O	
66-35	fokus	B-noun.cognition	
66-36	på	O	
66-37	virksomhedsvækst	B-noun.abstract	
66-38	og	O	
66-39	så	O	
66-40	selvfølgelig	O	
66-41	netværkeri	B-noun.act	
66-42	.	O	

#id=67
#text=Du kan skrive en kommentar,  eller sende et trackback fra dit eget site.
67-1	Du	O	
67-2	kan	O	
67-3	skrive	B-verb.communication	
67-4	en	O	
67-5	kommentar	B-noun.communication	
67-6	,	O	
67-7	eller	O	
67-8	sende	B-verb.communication	
67-9	et	O	
67-10	trackback	B-noun.communication	
67-11	fra	O	
67-12	dit	O	
67-13	eget	O	
67-14	site	B-noun.communication	
67-15	.	O	

#id=68
#text=Det samme gælder, hvis du er på måske-listen og gerne vil flyttes til jeg kommer-listen.
68-1	Det	O	
68-2	samme	O	
68-3	gælder	B-verb.stative	
68-4	,	O	
68-5	hvis	O	
68-6	du	O	
68-7	er	B-verb.stative	
68-8	på	O	
68-9	måske	B-noun.group	
68-10	-	I-noun.group	
68-11	listen	I-noun.group	
68-12	og	O	
68-13	gerne	O	
68-14	vil	O	
68-15	flyttes	B-verb.motion	
68-16	til	O	
68-17	jeg	B-noun.group	
68-18	kommer	I-noun.group	
68-19	-	I-noun.group	
68-20	listen	I-noun.group	
68-21	.	I-noun.group	

#id=69
#text=Tags:eksamen, folkeskolens afgangsprøve, karakterer, præstation, stil
69-1	Tags	O	
69-2	:	O	
69-3	eksamen	B-noun.act	
69-4	,	O	
69-5	folkeskolens	B-noun.event	
69-6	afgangsprøve	I-noun.event	
69-7	,	O	
69-8	karakterer	B-noun.communication	
69-9	,	O	
69-10	præstation	B-noun.act	
69-11	,	O	
69-12	stil	B-noun.attribute	

#id=70
#text=Damebladenesælger drømme.
70-1	Damebladene	B-noun.communication	
70-2	sælger	B-verb.act	
70-3	drømme	B-noun.cognition	
70-4	.	O	

#id=71
#text=Men så hørte almindeligheden også op.
71-1	Men	O	
71-2	så	O	
71-3	hørte	B-verb.aspectual	
71-4	almindeligheden	B-noun.attribute	
71-5	også	O	
71-6	op	B-verb.PARTICLE	
71-7	.	O	

#id=72
#text=Ogdet gjorde jeg ikke, selv om jeg vidste, at opkaldet var på vej, for jeg kunne ikke høre telefonen.
72-1	Og	O	
72-2	det	O	
72-3	gjorde	B-verb.act	
72-4	jeg	O	
72-5	ikke	O	
72-6	,	O	
72-7	selv	O	
72-8	om	O	
72-9	jeg	O	
72-10	vidste	B-verb.cognition	
72-11	,	O	
72-12	at	O	
72-13	opkaldet	B-noun.communication	
72-14	var	B-verb.stative	
72-15	på	B-verb.COLL	
72-16	vej	B-verb.COLL	
72-17	,	O	
72-18	for	O	
72-19	jeg	O	
72-20	kunne	O	
72-21	ikke	O	
72-22	høre	B-verb.perception	
72-23	telefonen	B-noun.artifact	
72-24	.	O	

#id=73
#text=Jeg er bestemt ikke blevet mildere stemt over for fænomenet, efter jeg  for et par uger siden læste en artikel i Politiken om, hvordan stifteren Mark Zuckerberg snuppede idéen til netværket fra nogle medstuderende på Harvard, der havde bedt om hans hjælp til at programmere deres site.
73-1	Jeg	O	
73-2	er	O	
73-3	bestemt	O	
73-4	ikke	O	
73-5	blevet	B-verb.change	
73-6	mildere	O	
73-7	stemt	B-adj.mental	
73-8	over	O	
73-9	for	O	
73-10	fænomenet	B-noun.phenomenon	
73-11	,	O	
73-12	efter	O	
73-13	jeg	O	
73-14	for	O	
73-15	et	O	
73-16	par	B-noun.quantity	
73-17	uger	B-noun.time	
73-18	siden	O	
73-19	læste	B-verb.cognition	
73-20	en	O	
73-21	artikel	B-noun.communication	
73-22	i	O	
73-23	Politiken	B-noun.communication	
73-24	om	O	
73-25	,	O	
73-26	hvordan	O	
73-27	stifteren	B-noun.person	
73-28	Mark	B-noun.person	
73-29	Zuckerberg	I-noun.person	
73-30	snuppede	B-verb.possession	
73-31	idéen	B-noun.cognition	
73-32	til	O	
73-33	netværket	B-noun.communication	
73-34	fra	O	
73-35	nogle	O	
73-36	medstuderende	B-noun.person	
73-37	på	O	
73-38	Harvard	B-noun.institution	
73-39	,	O	
73-40	der	O	
73-41	havde	O	
73-42	bedt	B-verb.communication	
73-43	om	O	
73-44	hans	O	
73-45	hjælp	B-noun.act	
73-46	til	O	
73-47	at	O	
73-48	programmere	B-verb.act	
73-49	deres	O	
73-50	site	B-noun.communication	
73-51	.	O	

#id=74
#text=Det er en  gratis, let og effektiv måde at holde sig orienteret på, og hver gang Googles søgerobot finder et nyt resultat, får jeg en mail med link til det.
74-1	Det	O	
74-2	er	B-verb.stative	
74-3	en	O	
74-4	gratis	B-adj.all	
74-5	,	O	
74-6	let	B-adj.all	
74-7	og	O	
74-8	effektiv	B-adj.all	
74-9	måde	B-noun.abstract	
74-10	at	O	
74-11	holde	B-verb.stative	
74-12	sig	B-verb.COLL	
74-13	orienteret	B-adj.all	
74-14	på	O	
74-15	,	O	
74-16	og	O	
74-17	hver	O	
74-18	gang	O	
74-19	Googles	B-noun.institution	
74-20	søgerobot	B-noun.person	
74-21	finder	B-verb.cognition	
74-22	et	O	
74-23	nyt	B-adj.time	
74-24	resultat	B-noun.communication	
74-25	,	O	
74-26	får	B-verb.possession	
74-27	jeg	O	
74-28	en	O	
74-29	mail	B-noun.communication	
74-30	med	O	
74-31	link	B-noun.communication	
74-32	til	O	
74-33	det	O	
74-34	.	O	

#id=75
#text=Og der blev de liggende.
75-1	Og	O	
75-2	der	O	
75-3	blev	B-verb.stative	
75-4	de	O	
75-5	liggende	B-verb.COLL	
75-6	.	O	

#id=76
#text=Derer udsigt til brænde, der skal stables, og venner, der skal beværtes.
76-1	Der	O	
76-2	er	B-verb.stative	
76-3	udsigt	B-noun.phenomenon	
76-4	til	O	
76-5	brænde	B-noun.object	
76-6	,	O	
76-7	der	O	
76-8	skal	O	
76-9	stables	B-verb.motion	
76-10	,	O	
76-11	og	O	
76-12	venner	B-noun.person	
76-13	,	O	
76-14	der	O	
76-15	skal	O	
76-16	beværtes	B-verb.act	
76-17	.	O	

#id=77
#text=Men i begge ægteskaber har retten til og behovet for adskillelse og det at forblive lidt ugift (nej, jeg taler ikke om utroskab!) været faste elementer.
77-1	Men	O	
77-2	i	O	
77-3	begge	O	
77-4	ægteskaber	B-noun.relation	
77-5	har	O	
77-6	retten	B-noun.cognition	
77-7	til	O	
77-8	og	O	
77-9	behovet	B-noun.feeling	
77-10	for	O	
77-11	adskillelse	B-noun.act	
77-12	og	O	
77-13	det	O	
77-14	at	O	
77-15	forblive	B-verb.stative	
77-16	lidt	O	
77-17	ugift	B-adj.social	
77-18	(	O	
77-19	nej	O	
77-20	,	O	
77-21	jeg	O	
77-22	taler	B-verb.communication	
77-23	ikke	O	
77-24	om	O	
77-25	utroskab	B-noun.attribute	
77-26	!	O	
77-27	)	O	
77-28	været	B-verb.stative	
77-29	faste	B-adj.all	
77-30	elementer	B-noun.relation	
77-31	.	O	

#id=78
#text=Men det er også nogenlunde det.
78-1	Men	O	
78-2	det	O	
78-3	er	B-verb.stative	
78-4	også	O	
78-5	nogenlunde	O	
78-6	det	O	
78-7	.	O	

#id=79
#text=I dag gjorde selskabet det.
79-1	I	O	
79-2	dag	B-noun.time	
79-3	gjorde	B-verb.act	
79-4	selskabet	B-noun.institution	
79-5	det	O	
79-6	.	O	

#id=80
#text=Men det er bestemt heller ikke en public service-kanals rolle at agere ukritisk spytslikker og propagandamaskine for det modsatte.
80-1	Men	O	
80-2	det	O	
80-3	er	B-verb.stative	
80-4	bestemt	O	
80-5	heller	O	
80-6	ikke	O	
80-7	en	O	
80-8	public	B-noun.institution	
80-9	service	I-noun.institution	
80-10	-	I-noun.institution	
80-11	kanals	I-noun.institution	
80-12	rolle	B-noun.act	
80-13	at	O	
80-14	agere	B-verb.act	
80-15	ukritisk	B-adj.all	
80-16	spytslikker	B-noun.person	
80-17	og	O	
80-18	propagandamaskine	B-noun.person	
80-19	for	O	
80-20	det	O	
80-21	modsatte	O	
80-22	.	O	

#id=81
#text=Detværste ved hele operationen, synes teenageren, er at få lagt lokalbedøvelsen.
81-1	Det	O	
81-2	værste	B-adj.all	
81-3	ved	O	
81-4	hele	O	
81-5	operationen	B-noun.act	
81-6	,	O	
81-7	synes	B-verb.cognition	
81-8	teenageren	B-noun.person	
81-9	,	O	
81-10	er	B-verb.stative	
81-11	at	O	
81-12	få	O	
81-13	lagt	B-verb.act	
81-14	lokalbedøvelsen	B-noun.act	
81-15	.	O	

#id=82
#text=Føtex, genitiv, korrektur, korrekturlæsning, retskrivning
82-1	Føtex	B-noun.institution	
82-2	,	O	
82-3	genitiv	B-noun.communication	
82-4	,	O	
82-5	korrektur	B-noun.act	
82-6	,	O	
82-7	korrekturlæsning	B-noun.act	
82-8	,	O	
82-9	retskrivning	B-noun.act	

#id=83
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
83-1	Du	O	
83-2	kan	O	
83-3	skrive	B-verb.communication	
83-4	en	O	
83-5	kommentar	B-noun.communication	
83-6	,	O	
83-7	eller	O	
83-8	sende	B-verb.communication	
83-9	et	O	
83-10	trackback	B-noun.communication	
83-11	fra	O	
83-12	dit	O	
83-13	eget	O	
83-14	site	B-noun.communication	
83-15	.	O	

#id=84
#text=Sådanhar vi det ikke her på matriklen (dog har manden i mit liv ført krig mod mælkebøtterne og ved ihærdighed (næsten) vundet).
84-1	Sådan	O	
84-2	har	B-verb.cognition	
84-3	vi	O	
84-4	det	O	
84-5	ikke	O	
84-6	her	O	
84-7	på	O	
84-8	matriklen	B-noun.building	
84-9	(	O	
84-10	dog	O	
84-11	har	O	
84-12	manden	B-noun.person	
84-13	i	O	
84-14	mit	O	
84-15	liv	B-noun.state	
84-16	ført	B-verb.act	
84-17	krig	B-verb.COLL	
84-18	mod	O	
84-19	mælkebøtterne	B-noun.plant	
84-20	og	O	
84-21	ved	O	
84-22	ihærdighed	B-noun.attribute	
84-23	(	O	
84-24	næsten	O	
84-25	)	O	
84-26	vundet	B-verb.competition	
84-27	)	O	
84-28	.	O	

#id=85
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
85-1	Du	O	
85-2	kan	O	
85-3	skrive	B-verb.communication	
85-4	en	O	
85-5	kommentar	B-noun.communication	
85-6	,	O	
85-7	eller	O	
85-8	sende	B-verb.communication	
85-9	et	O	
85-10	trackback	B-noun.communication	
85-11	fra	O	
85-12	dit	O	
85-13	eget	O	
85-14	site	B-noun.communication	
85-15	.	O	

#id=86
#text=Her er det et skinnende nyt eksemplar på Frihedsbroen.
86-1	Her	O	
86-2	er	B-verb.stative	
86-3	det	O	
86-4	et	O	
86-5	skinnende	B-adj.phys	
86-6	nyt	B-adj.time	
86-7	eksemplar	B-noun.abstract	
86-8	på	O	
86-9	Frihedsbroen	B-noun.building	
86-10	.	O	

#id=87
#text=Detteindlæg blev udgivet den mandag, 25. januar 2010 kl. 08:57 og er gemt i Katte, Min have.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
87-1	Dette	O	
87-2	indlæg	B-noun.communication	
87-3	blev	O	
87-4	udgivet	B-verb.communication	
87-5	den	O	
87-6	mandag	B-noun.time	
87-7	,	O	
87-8	25	O	
87-9	.	O	
87-10	januar	B-noun.time	
87-11	2010	B-noun.time	
87-12	kl	O	
87-13	.	O	
87-14	08	O	
87-15	:	O	
87-16	57	O	
87-17	og	O	
87-18	er	O	
87-19	gemt	B-verb.stative	
87-20	i	O	
87-21	Katte	B-noun.communication	
87-22	,	O	
87-23	Min	B-noun.communication	
87-24	have	I-noun.communication	
87-25	.	O	
87-26	Du	O	
87-27	kan	O	
87-28	følge	B-verb.communication	
87-29	alle	O	
87-30	svar	B-noun.communication	
87-31	til	O	
87-32	dette	O	
87-33	indlæg	B-noun.communication	
87-34	via	O	
87-35	RSS	O	
87-36	2	O	
87-37	.	O	
87-38	0	O	
87-39	-	O	
87-40	feedet	O	
87-41	.	O	

#id=88
#text=Og så selvfølgelig lige den, som diverse data foretager via VPNen.
88-1	Og	O	
88-2	så	O	
88-3	selvfølgelig	O	
88-4	lige	O	
88-5	den	O	
88-6	,	O	
88-7	som	O	
88-8	diverse	B-adj.all	
88-9	data	B-noun.abstract	
88-10	foretager	B-verb.act	
88-11	via	O	
88-12	VPNen	B-noun.communication	
88-13	.	O	

#id=89
#text=Mentil gengæld syntes vi alle, at eftermiddagen blev bare en lille smule lysere.
89-1	Men	O	
89-2	til	O	
89-3	gengæld	O	
89-4	syntes	B-verb.cognition	
89-5	vi	O	
89-6	alle	O	
89-7	,	O	
89-8	at	O	
89-9	eftermiddagen	B-noun.time	
89-10	blev	B-verb.change	
89-11	bare	O	
89-12	en	O	
89-13	lille	B-adj.all	
89-14	smule	B-noun.quantity	
89-15	lysere	B-adj.phys	
89-16	.	O	

#id=90
#text=Eller måske skulle jeg holde mig til det her tempo?
90-1	Eller	O	
90-2	måske	O	
90-3	skulle	O	
90-4	jeg	O	
90-5	holde	B-verb.stative	
90-6	mig	B-verb.REFLPRON	
90-7	til	O	
90-8	det	O	
90-9	her	O	
90-10	tempo	B-noun.abstract	
90-11	?	O	

#id=91
#text=Som er al arbejdet værd.
91-1	Som	O	
91-2	er	B-verb.stative	
91-3	al	O	
91-4	arbejdet	B-noun.act	
91-5	værd	B-adj.all	
91-6	.	O	

#id=92
#text=Da den der type striber dukkede op igen i modebilledet her i foråret, havde jeg slet ikke lyst til at hoppe på vognen igen.
92-1	Da	O	
92-2	den	O	
92-3	der	O	
92-4	type	B-noun.abstract	
92-5	striber	B-noun.shape	
92-6	dukkede	B-verb.motion	
92-7	op	B-verb.PARTICLE	
92-8	igen	O	
92-9	i	O	
92-10	modebilledet	B-noun.abstract	
92-11	her	O	
92-12	i	O	
92-13	foråret	B-noun.time	
92-14	,	O	
92-15	havde	B-verb.emotion	
92-16	jeg	O	
92-17	slet	O	
92-18	ikke	O	
92-19	lyst	B-verb.COLL	
92-20	til	O	
92-21	at	O	
92-22	hoppe	B-verb.motion	
92-23	på	O	
92-24	vognen	B-noun.vehicle	
92-25	igen	O	
92-26	.	O	

#id=93
#text=Tags:afstressning, arbejde, stress, træthed
93-1	Tags	O	
93-2	:	O	
93-3	afstressning	B-noun.act	
93-4	,	O	
93-5	arbejde	B-noun.act	
93-6	,	O	
93-7	stress	B-noun.disease	
93-8	,	O	
93-9	træthed	B-noun.feeling	

#id=94
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
94-1	Du	O	
94-2	kan	O	
94-3	skrive	B-verb.communication	
94-4	en	O	
94-5	kommentar	B-noun.communication	
94-6	,	O	
94-7	eller	O	
94-8	sende	B-verb.communication	
94-9	et	O	
94-10	trackback	B-noun.communication	
94-11	fra	O	
94-12	dit	O	
94-13	eget	O	
94-14	site	B-noun.communication	
94-15	.	O	

#id=95
#text=Men der er nu alligevel en nist af julekortidyl i dag, for hele haven er dækket af kraftig rim, og de fire graders frost får det til at knase sprødt på græsplænen.
95-1	Men	O	
95-2	der	O	
95-3	er	B-verb.stative	
95-4	nu	O	
95-5	alligevel	O	
95-6	en	O	
95-7	nist	B-noun.shape	
95-8	af	O	
95-9	julekortidyl	B-noun.phenomenon	
95-10	i	O	
95-11	dag	B-noun.time	
95-12	,	O	
95-13	for	O	
95-14	hele	O	
95-15	haven	B-noun.location	
95-16	er	B-verb.stative	
95-17	dækket	B-adj.phys	
95-18	af	O	
95-19	kraftig	B-adj.phys	
95-20	rim	B-noun.phenomenon	
95-21	,	O	
95-22	og	O	
95-23	de	O	
95-24	fire	O	
95-25	graders	B-noun.quantity	
95-26	frost	B-noun.phenomenon	
95-27	får	B-verb.change	
95-28	det	O	
95-29	til	B-verb.PARTICLE	
95-30	at	O	
95-31	knase	B-verb.phenomenon	
95-32	sprødt	O	
95-33	på	O	
95-34	græsplænen	B-noun.location	
95-35	.	O	

#id=96
#text=Gennemjobbet havde jeg købt billetter til koncert på Arken med Marie Carmen Koppel.
96-1	Gennem	O	
96-2	jobbet	B-noun.act	
96-3	havde	O	
96-4	jeg	O	
96-5	købt	B-verb.possession	
96-6	billetter	B-noun.communication	
96-7	til	O	
96-8	koncert	B-noun.event	
96-9	på	O	
96-10	Arken	B-noun.location	
96-11	med	O	
96-12	Marie	B-noun.person	
96-13	Carmen	I-noun.person	
96-14	Koppel	I-noun.person	
96-15	.	O	

#id=97
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
97-1	Du	O	
97-2	kan	O	
97-3	skrive	B-verb.communication	
97-4	en	O	
97-5	kommentar	B-noun.communication	
97-6	,	O	
97-7	eller	O	
97-8	sende	B-verb.communication	
97-9	et	O	
97-10	trackback	B-noun.communication	
97-11	fra	O	
97-12	dit	O	
97-13	eget	O	
97-14	site	B-noun.communication	
97-15	.	O	

#id=98
#text=Ikke fordi jeg ingen venner har (slet ikke!).
98-1	Ikke	O	
98-2	fordi	O	
98-3	jeg	O	
98-4	ingen	O	
98-5	venner	B-noun.person	
98-6	har	B-verb.stative	
98-7	(	O	
98-8	slet	O	
98-9	ikke	O	
98-10	!	O	
98-11	)	O	
98-12	.	O	

#id=99
#text=Detteindlæg blev udgivet den fredag, 27. marts 2009 kl. 22:47 og er gemt i Katte.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
99-1	Dette	O	
99-2	indlæg	B-noun.communication	
99-3	blev	O	
99-4	udgivet	B-verb.communication	
99-5	den	O	
99-6	fredag	B-noun.time	
99-7	,	O	
99-8	27	O	
99-9	.	O	
99-10	marts	B-noun.time	
99-11	2009	B-noun.time	
99-12	kl	O	
99-13	.	O	
99-14	22	O	
99-15	:	O	
99-16	47	O	
99-17	og	O	
99-18	er	O	
99-19	gemt	B-verb.stative	
99-20	i	O	
99-21	Katte	B-noun.communication	
99-22	.	O	
99-23	Du	O	
99-24	kan	O	
99-25	følge	B-verb.cognition	
99-26	alle	O	
99-27	svar	B-noun.communication	
99-28	til	O	
99-29	dette	O	
99-30	indlæg	B-noun.communication	
99-31	via	O	
99-32	RSS	O	
99-33	2	O	
99-34	.	O	
99-35	0	O	
99-36	-	O	
99-37	feedet	O	
99-38	.	O	

#id=100
#text=Brænde i kurven.
100-1	Brænde	B-noun.object	
100-2	i	O	
100-3	kurven	B-noun.container	
100-4	.	O	

