 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Forlag:
1-1	Forlag	B-noun.institution	
47-7	animen	B-noun.communication	
47-8	,	O	
47-9	men	O	
47-10	mangaen	B-noun.communication	
47-11	er	B-verb.stative	
47-12	god	B-adj.all	
47-13	.	O	

#id=48
#text=Endnu en gang tak for alle dine indlæg!
48-1	Endnu	O	
48-2	en	O	
48-3	gang	B-noun.time	
48-4	tak	O	
48-5	for	O	
48-6	alle	O	
48-7	dine	O	
48-8	indlæg	B-noun.communication	
48-9	!	O	

#id=49
#text=Derer en mand fra Polen, Der har brugt Mugen Enginen til at lave sit eget kampspil, hvor han har filmet nogle af sine venner og derefter sat dem som figurer ind i spillet.
49-1	Der	O	
49-2	er	B-verb.stative	
49-3	en	O	
49-4	mand	B-noun.person	
49-5	fra	O	
49-6	Polen	B-noun.location	
49-7	,	O	
49-8	Der	O	
49-9	har	O	
49-10	brugt	B-verb.act	
49-11	Mugen	B-noun.artifact	
49-12	Enginen	I-noun.artifact	
49-13	til	O	
49-14	at	O	
49-15	lave	B-verb.creation	
49-16	sit	O	
49-17	eget	O	
49-18	kampspil	B-noun.artifact	
49-19	,	O	
49-20	hvor	O	
49-21	han	O	
49-22	har	O	
49-23	filmet	B-verb.social	
49-24	nogle	O	
49-25	af	O	
49-26	sine	O	
49-27	venner	B-noun.person	
49-28	og	O	
49-29	derefter	O	
49-30	sat	B-verb.change	
49-31	dem	O	
49-32	som	O	
49-33	figurer	B-noun.person	
49-34	ind	B-verb.PARTICLE	
49-35	i	O	
49-36	spillet	B-noun.artifact	
49-37	.	O	

#id=50
#text=Ville ønske de dog ville prøve at passe stemmerne bedre -.-
50-1	Ville	O	
50-2	ønske	B-verb.emotion	
50-3	de	O	
50-4	dog	O	
50-5	ville	O	
50-6	prøve	B-verb.act	
50-7	at	O	
50-8	passe	B-verb.stative	
50-9	stemmerne	B-noun.attribute	
50-10	bedre	O	
50-11	-	O	
50-12	.	O	
50-13	-	O	

#id=51
#text=jegskal da helt klart til j-popcorn.
51-1	jeg	O	
51-2	skal	B-verb.motion	
51-3	da	O	
51-4	helt	O	
51-5	klart	O	
51-6	til	B-verb.COLL	
51-7	j	B-noun.institution	
51-8	-	I-noun.institution	
51-9	popcorn	I-noun.institution	
51-10	.	O	

#id=52
#text=jeger en nård som ingen gider hårer på fordi jeg kun taler om manga punktum
52-1	jeg	O	
52-2	er	B-verb.stative	
52-3	en	O	
52-4	nård	B-noun.person	
52-5	som	O	
52-6	ingen	O	
52-7	gider	O	
52-8	hårer	B-verb.perception	
52-9	på	O	
52-10	fordi	O	
52-11	jeg	O	
52-12	kun	O	
52-13	taler	B-verb.communication	
52-14	om	O	
52-15	manga	B-noun.communication	
52-16	punktum	B-noun.communication	

#id=53
#text=Er der noget jeg er gået glip af??
53-1	Er	B-verb.stative	
53-2	der	O	
53-3	noget	O	
53-4	jeg	O	
53-5	er	O	
53-6	gået	B-verb.act	
53-7	glip	B-verb.COLL	
53-8	af	B-verb.COLL	
53-9	?	O	
53-10	?	O	

#id=54
#text=Beyblade kommer altså os på dr1.... jeg har  kun set det engang der... jeg ved ik om det kommer der meget... men det var hvertfald en lørdag kan ik huske tiden... :roll:
54-1	Beyblade	B-noun.communication	
54-2	kommer	B-verb.communication	
54-3	altså	O	
54-4	os	O	
54-5	på	O	
54-6	dr1	B-noun.communication	
54-7	.	O	
54-8	.	O	
54-9	.	O	
54-10	.	O	
54-11	jeg	O	
54-12	har	O	
54-13	kun	O	
54-14	set	B-verb.perception	
54-15	det	O	
54-16	engang	O	
54-17	der	O	
54-18	.	O	
54-19	.	O	
54-20	.	O	
54-21	jeg	O	
54-22	ved	B-verb.cognition	
54-23	ik	O	
54-24	om	O	
54-25	det	O	
54-26	kommer	B-verb.communication	
54-27	der	O	
54-28	meget	O	
54-29	.	O	
54-30	.	O	
54-31	.	O	
54-32	men	O	
54-33	det	O	
54-34	var	B-verb.stative	
54-35	hvertfald	O	
54-36	en	O	
54-37	lørdag	B-noun.time	
54-38	kan	O	
54-39	ik	O	
54-40	huske	B-verb.cognition	
54-41	tiden	B-noun.time	
54-42	.	O	
54-43	.	O	
54-44	.	O	
54-45	:	O	
54-46	roll	O	
54-47	:	O	

#id=55
#text=Men hvis du kan lide "The Legend of Zelda"-serien.
55-1	Men	O	
55-2	hvis	O	
55-3	du	O	
55-4	kan	O	
55-5	lide	B-verb.emotion	
55-6	"	O	
55-7	The	B-noun.communication	
55-8	Legend	I-noun.communication	
55-9	of	I-noun.communication	
55-10	Zelda	I-noun.communication	
55-11	"	O	
55-12	-	O	
55-13	serien	B-noun.communication	
55-14	.	O	

#id=56
#text=Men har ikke set den endnu.
56-1	Men	O	
56-2	har	O	
56-3	ikke	O	
56-4	set	B-verb.perception	
56-5	den	O	
56-6	endnu	O	
56-7	.	O	

#id=57
#text=Onepiece Grand battle kan godt fås i danske butikker jeg har selv købt det i EB games
57-1	One	B-noun.artifact	
57-2	piece	I-noun.artifact	
57-3	Grand	I-noun.artifact	
57-4	battle	I-noun.artifact	
57-5	kan	O	
57-6	godt	O	
57-7	fås	B-verb.possession	
57-8	i	O	
57-9	danske	B-adj.social	
57-10	butikker	B-noun.building	
57-11	jeg	O	
57-12	har	O	
57-13	selv	O	
57-14	købt	B-verb.possession	
57-15	det	O	
57-16	i	O	
57-17	EB	B-noun.institution	
57-18	games	I-noun.institution	

#id=58
#text=Hun synes nemlig den var super cool, sagde noget med at den var fantasifuldt lavet :).
58-1	Hun	O	
58-2	synes	B-verb.cognition	
58-3	nemlig	O	
58-4	den	O	
58-5	var	B-verb.stative	
58-6	super	O	
58-7	cool	B-adj.all	
58-8	,	O	
58-9	sagde	B-verb.communication	
58-10	noget	O	
58-11	med	O	
58-12	at	O	
58-13	den	O	
58-14	var	B-verb.stative	
58-15	fantasifuldt	O	
58-16	lavet	B-verb.creation	
58-17	:	O	
58-18	)	O	
58-19	.	O	

#id=59
#text=Jeg kan ikke anbefale dig at købe dem, med mindre du skal leve af at være oversætter.
59-1	Jeg	O	
59-2	kan	O	
59-3	ikke	O	
59-4	anbefale	B-verb.communication	
59-5	dig	O	
59-6	at	O	
59-7	købe	B-verb.possession	
59-8	dem	O	
59-9	,	O	
59-10	med	O	
59-11	mindre	O	
59-12	du	O	
59-13	skal	O	
59-14	leve	B-verb.stative	
59-15	af	O	
59-16	at	O	
59-17	være	B-verb.stative	
59-18	oversætter	B-noun.person	
59-19	.	O	

#id=60
#text=OMGhvorfor læste jeg det her topic :/....jeg ser kun Anime'en, så jeg troede selvfølgelig det var den i snakkede om ...oh well, life goes on.
60-1	OMG	O	
60-2	hvorfor	O	
60-3	læste	B-verb.cognition	
60-4	jeg	O	
60-5	det	O	
60-6	her	O	
60-7	topic	B-noun.communication	
60-8	:	O	
60-9	/	O	
60-10	.	O	
60-11	.	O	
60-12	.	O	
60-13	.	O	
60-14	jeg	O	
60-15	ser	B-verb.perception	
60-16	kun	O	
60-17	Anime	B-noun.communication	
60-18	'	I-noun.communication	
60-19	en	I-noun.communication	
60-20	,	O	
60-21	så	O	
60-22	jeg	O	
60-23	troede	B-verb.cognition	
60-24	selvfølgelig	O	
60-25	det	O	
60-26	var	B-verb.stative	
60-27	den	O	
60-28	i	O	
60-29	snakkede	B-verb.communication	
60-30	om	O	
60-31	.	O	
60-32	.	O	
60-33	.	O	
60-34	oh	O	
60-35	well	O	
60-36	,	O	
60-37	life	O	
60-38	goes	O	
60-39	on	O	
60-40	.	O	

#id=61
#text=Det er da for digimon frotier ikke
61-1	Det	O	
61-2	er	B-verb.stative	
61-3	da	O	
61-4	for	O	
61-5	digimon	B-noun.communication	
61-6	frotier	I-noun.communication	
61-7	ikke	O	

#id=62
#text=Hmm...
62-1	Hmm	O	
62-2	.	O	
62-3	.	O	
62-4	.	O	

#id=63
#text=Stemtepå manga... ser kun det anime derkommer i det danske tv.
63-1	Stemte	B-verb.social	
63-2	på	O	
63-3	manga	B-noun.communication	
63-4	.	O	
63-5	.	O	
63-6	.	O	
63-7	ser	B-verb.perception	
63-8	kun	O	
63-9	det	O	
63-10	anime	B-noun.communication	
63-11	derkommer	B-verb.communication	
63-12	i	O	
63-13	det	O	
63-14	danske	B-adj.social	
63-15	tv	B-noun.communication	
63-16	.	O	

#id=64
#text=Animéen skulle være udkommet på engelsk i sidste måned.
64-1	Animéen	B-noun.communication	
64-2	skulle	O	
64-3	være	B-verb.stative	
64-4	udkommet	B-verb.act	
64-5	på	O	
64-6	engelsk	B-adj.social	
64-7	i	O	
64-8	sidste	B-adj.time	
64-9	måned	B-noun.time	
64-10	.	O	

#id=65
#text=Fordet første vil jeg bare lige sige at Grave Of The Fireflyes ikke er en af Miyazaki's film, men derimod en af Isao Takahata film.
65-1	For	O	
65-2	det	O	
65-3	første	O	
65-4	vil	O	
65-5	jeg	O	
65-6	bare	O	
65-7	lige	O	
65-8	sige	B-verb.communication	
65-9	at	O	
65-10	Grave	B-noun.communication	
65-11	Of	I-noun.communication	
65-12	The	I-noun.communication	
65-13	Fireflyes	I-noun.communication	
65-14	ikke	O	
65-15	er	B-verb.stative	
65-16	en	O	
65-17	af	O	
65-18	Miyazaki	B-noun.person	
65-19	'	I-noun.person	
65-20	s	I-noun.person	
65-21	film	B-noun.communication	
65-22	,	O	
65-23	men	O	
65-24	derimod	O	
65-25	en	O	
65-26	af	O	
65-27	Isao	B-noun.person	
65-28	Takahata	I-noun.person	
65-29	film	B-noun.communication	
65-30	.	O	

#id=66
#text=Lyderda totalt fedt!
66-1	Lyder	B-verb.phenomenon	
66-2	da	O	
66-3	totalt	O	
66-4	fedt	O	
66-5	!	O	

#id=67
#text=Jeg elsker den!
67-1	Jeg	O	
67-2	elsker	B-verb.emotion	
67-3	den	O	
67-4	!	O	

#id=68
#text=Dragon Ball var den første der kom, og ja den kender vi jo alle sammen, men hvad med One Piece?
68-1	Dragon	B-noun.communication	
68-2	Ball	I-noun.communication	
68-3	var	O	
68-4	den	O	
68-5	første	B-adj.time	
68-6	der	O	
68-7	kom	B-verb.creation	
68-8	,	O	
68-9	og	O	
68-10	ja	O	
68-11	den	O	
68-12	kender	B-verb.cognition	
68-13	vi	O	
68-14	jo	O	
68-15	alle	O	
68-16	sammen	O	
68-17	,	O	
68-18	men	O	
68-19	hvad	O	
68-20	med	O	
68-21	One	B-noun.communication	
68-22	Piece	I-noun.communication	
68-23	?	O	

#id=69
#text=Bahhh!!endnu en Manga på Dansk...Kan godt sige, at min Tegnebog ikke just skriger af grin...
69-1	Bahhh	O	
69-2	!	O	
69-3	!	O	
69-4	endnu	O	
69-5	en	O	
69-6	Manga	B-noun.communication	
69-7	på	O	
69-8	Dansk	B-adj.social	
69-9	.	O	
69-10	.	O	
69-11	.	O	
69-12	Kan	O	
69-13	godt	O	
69-14	sige	B-verb.communication	
69-15	,	O	
69-16	at	O	
69-17	min	O	
69-18	Tegnebog	B-noun.artifact	
69-19	ikke	O	
69-20	just	O	
69-21	skriger	B-verb.phenomenon	
69-22	af	O	
69-23	grin	O	
69-24	.	O	
69-25	.	O	
69-26	.	O	

#id=70
#text=Den eneste måde jeg kender hvor man ikke skal bruge polymerization kortet er hvis man bruger Cyber-Stein's effect.
70-1	Den	O	
70-2	eneste	B-adj.all	
70-3	måde	B-noun.abstract	
70-4	jeg	O	
70-5	kender	B-verb.cognition	
70-6	hvor	O	
70-7	man	O	
70-8	ikke	O	
70-9	skal	O	
70-10	bruge	B-verb.act	
70-11	polymerization	B-noun.artifact	
70-12	kortet	I-noun.artifact	
70-13	er	B-verb.stative	
70-14	hvis	O	
70-15	man	O	
70-16	bruger	B-verb.act	
70-17	Cyber	B-noun.artifact	
70-18	-	I-noun.artifact	
70-19	Stein	I-noun.artifact	
70-20	'	O	
70-21	s	O	
70-22	effect	B-noun.phenomenon	
70-23	.	O	

#id=71
#text=Såfor faen.. så er der snart åbent hus på Tokai boarding school..
71-1	Så	O	
71-2	for	O	
71-3	faen	B-noun.person	
71-4	.	O	
71-5	.	O	
71-6	så	O	
71-7	er	B-verb.stative	
71-8	der	O	
71-9	snart	O	
71-10	åbent	B-adj.all	
71-11	hus	B-noun.building	
71-12	på	O	
71-13	Tokai	B-noun.institution	
71-14	boarding	I-noun.institution	
71-15	school	I-noun.institution	
71-16	.	O	
71-17	.	O	

#id=72
#text=Andersoner da ikke psykopat.
72-1	Anderson	B-noun.person	
72-2	er	B-verb.stative	
72-3	da	O	
72-4	ikke	O	
72-5	psykopat	B-noun.person	
72-6	.	O	

#id=73
#text=Dukan downloade WinMugen Her www.mugenfury.com Hvis den ikke kommer op igen må du få den over msn...
73-1	Du	O	
73-2	kan	O	
73-3	downloade	B-noun.possession	
73-4	WinMugen	B-noun.artifact	
73-5	Her	O	
73-6	www	O	
73-7	.	O	
73-8	mugenfury	O	
73-9	.	O	
73-10	com	O	
73-11	Hvis	O	
73-12	den	O	
73-13	ikke	O	
73-14	kommer	B-verb.phenomenon	
73-15	op	B-verb.PARTICLE	
73-16	igen	O	
73-17	må	O	
73-18	du	O	
73-19	få	B-verb.communication	
73-20	den	O	
73-21	over	O	
73-22	msn	B-noun.communication	
73-23	.	O	
73-24	.	O	
73-25	.	O	

#id=74
#text=Ja, ifølge loven omfatter hovedstadsområdet Tokyo og nærliggende byer, men hvem siger hovedstaden behøver ligge der? :P
74-1	Ja	O	
74-2	,	O	
74-3	ifølge	O	
74-4	loven	B-noun.communication	
74-5	omfatter	B-verb.stative	
74-6	hovedstadsområdet	B-noun.location	
74-7	Tokyo	B-noun.location	
74-8	og	O	
74-9	nærliggende	B-adj.phys	
74-10	byer	B-noun.location	
74-11	,	O	
74-12	men	O	
74-13	hvem	O	
74-14	siger	B-verb.communication	
74-15	hovedstaden	B-noun.location	
74-16	behøver	O	
74-17	ligge	B-verb.stative	
74-18	der	O	
74-19	?	O	
74-20	:	O	
74-21	P	O	

#id=75
#text=*FalderNed Af Stolen Og Brækker Mig Af Grin :lol:
75-1	*Falder	B-verb.motion	
75-2	Ned	B-verb.PARTICLE	
75-3	Af	O	
75-4	Stolen	B-noun.artifact	
75-5	Og	O	
75-6	Brækker	B-verb.act	
75-7	Mig	B-verb.REFLPRON	
75-8	Af	O	
75-9	Grin	B-noun.act	
75-10	:	O	
75-11	lol	O	
75-12	:	O	

#id=76
#text=AHistory of Japanese Civilization af Conrad Schirokauer er en aldeles udmærket bog, som man ikke kan lægge fra sig når først man har den i hånden.
76-1	A	B-noun.communication	
76-2	History	I-noun.communication	
76-3	of	I-noun.communication	
76-4	Japanese	I-noun.communication	
76-5	Civilization	I-noun.communication	
76-6	af	O	
76-7	Conrad	B-noun.person	
76-8	Schirokauer	I-noun.person	
76-9	er	B-verb.stative	
76-10	en	O	
76-11	aldeles	O	
76-12	udmærket	B-adj.all	
76-13	bog	B-noun.communication	
76-14	,	O	
76-15	som	O	
76-16	man	O	
76-17	ikke	O	
76-18	kan	O	
76-19	lægge	B-verb.motion	
76-20	fra	B-verb.PARTICLE	
76-21	sig	B-verb.REFLPRON	
76-22	når	O	
76-23	først	O	
76-24	man	O	
76-25	har	B-verb.stative	
76-26	den	O	
76-27	i	O	
76-28	hånden	B-noun.body	
76-29	.	O	

#id=77
#text=undskyld der må være sket en fejl det var angående akira :oops:
77-1	undskyld	O	
77-2	der	O	
77-3	må	O	
77-4	være	B-verb.stative	
77-5	sket	B-verb.phenomenon	
77-6	en	O	
77-7	fejl	B-noun.act	
77-8	det	O	
77-9	var	B-verb.stative	
77-10	angående	B-adj.all	
77-11	akira	B-noun.communication	
77-12	:	O	
77-13	oops	O	
77-14	:	O	

#id=78
#text=Der er selvfølgelig plads til alle! - men tag lige og tjek for stavefejl inden du poster, det ville gøre meget!
78-1	Der	O	
78-2	er	B-verb.stative	
78-3	selvfølgelig	O	
78-4	plads	B-noun.location	
78-5	til	O	
78-6	alle	O	
78-7	!	O	
78-8	-	O	
78-9	men	O	
78-10	tag	O	
78-11	lige	O	
78-12	og	O	
78-13	tjek	B-verb.cognition	
78-14	for	O	
78-15	stavefejl	B-noun.act	
78-16	inden	O	
78-17	du	O	
78-18	poster	B-verb.communication	
78-19	,	O	
78-20	det	O	
78-21	ville	O	
78-22	gøre	B-verb.act	
78-23	meget	O	
78-24	!	O	

#id=79
#text=Jeps,det er Melos! - helt præcist er det Mikkel, som oversætter den, som I også kan se i kolofonen. (den side foran i bogen, hvor alt det tekniske står!)
79-1	Jeps	O	
79-2	,	O	
79-3	det	O	
79-4	er	B-verb.stative	
79-5	Melos	B-noun.person	
79-6	!	O	
79-7	-	O	
79-8	helt	O	
79-9	præcist	O	
79-10	er	B-verb.stative	
79-11	det	O	
79-12	Mikkel	B-noun.person	
79-13	,	O	
79-14	som	O	
79-15	oversætter	B-verb.communication	
79-16	den	O	
79-17	,	O	
79-18	som	O	
79-19	I	O	
79-20	også	O	
79-21	kan	O	
79-22	se	B-verb.perception	
79-23	i	O	
79-24	kolofonen	B-noun.communication	
79-25	.	O	
79-26	(	O	
79-27	den	O	
79-28	side	B-noun.communication	
79-29	foran	O	
79-30	i	O	
79-31	bogen	B-noun.communication	
79-32	,	O	
79-33	hvor	O	
79-34	alt	O	
79-35	det	O	
79-36	tekniske	B-adj.all	
79-37	står	B-verb.communication	
79-38	!	O	
79-39	)	O	

#id=80
#text=Jo, ellers kan jeg ikke rigtig se formålet med at oprette en Poll, Men det må du selvfølgelig selv om :D
80-1	Jo	O	
80-2	,	O	
80-3	ellers	O	
80-4	kan	O	
80-5	jeg	O	
80-6	ikke	O	
80-7	rigtig	O	
80-8	se	B-verb.cognition	
80-9	formålet	B-noun.motive	
80-10	med	O	
80-11	at	O	
80-12	oprette	B-verb.creation	
80-13	en	O	
80-14	Poll	B-noun.artifact	
80-15	,	O	
80-16	Men	O	
80-17	det	O	
80-18	må	B-verb.cognition	
80-19	du	O	
80-20	selvfølgelig	O	
80-21	selv	O	
80-22	om	B-verb.PARTICLE	
80-23	:	O	
80-24	D	O	

#id=81
#text=Men jeg synes også at det er en fin idé, hvis I mødes på MSN, og hjælper hinanden igang!
81-1	Men	O	
81-2	jeg	O	
81-3	synes	B-verb.cognition	
81-4	også	O	
81-5	at	O	
81-6	det	O	
81-7	er	B-verb.stative	
81-8	en	O	
81-9	fin	B-adj.all	
81-10	idé	B-noun.abstract	
81-11	,	O	
81-12	hvis	O	
81-13	I	O	
81-14	mødes	B-verb.social	
81-15	på	O	
81-16	MSN	B-noun.communication	
81-17	,	O	
81-18	og	O	
81-19	hjælper	B-verb.social	
81-20	hinanden	O	
81-21	igang	O	
81-22	!	O	

#id=82
#text=Jeger ganske vist ny her, men jeg vil gerne gøre et forsøg med side 9, med mindre andre vil oversætte selvfølgelig.
82-1	Jeg	O	
82-2	er	B-verb.stative	
82-3	ganske	O	
82-4	vist	O	
82-5	ny	B-adj.time	
82-6	her	O	
82-7	,	O	
82-8	men	O	
82-9	jeg	O	
82-10	vil	O	
82-11	gerne	O	
82-12	gøre	B-verb.act	
82-13	et	O	
82-14	forsøg	B-noun.act	
82-15	med	O	
82-16	side	B-noun.communication	
82-17	9	O	
82-18	,	O	
82-19	med	O	
82-20	mindre	O	
82-21	andre	O	
82-22	vil	O	
82-23	oversætte	B-verb.communication	
82-24	selvfølgelig	O	
82-25	.	O	

#id=83
#text=Jeg er god til tysk, fordi jeg siden 3. kl. har set anime med tysk dub... :wink:
83-1	Jeg	O	
83-2	er	B-verb.stative	
83-3	god	B-adj.all	
83-4	til	O	
83-5	tysk	B-noun.domain	
83-6	,	O	
83-7	fordi	O	
83-8	jeg	O	
83-9	siden	O	
83-10	3	O	
83-11	.	O	
83-12	kl	B-noun.relation	
83-13	.	O	
83-14	har	O	
83-15	set	B-verb.perception	
83-16	anime	B-noun.communication	
83-17	med	O	
83-18	tysk	B-adj.social	
83-19	dub	B-noun.act	
83-20	.	O	
83-21	.	O	
83-22	.	O	
83-23	:	O	
83-24	wink	O	
83-25	:	O	

#id=84
#text=Okay nu er der så to her inde der har nævnt det.
84-1	Okay	O	
84-2	nu	O	
84-3	er	B-verb.stative	
84-4	der	O	
84-5	så	O	
84-6	to	O	
84-7	her	O	
84-8	inde	O	
84-9	der	O	
84-10	har	O	
84-11	nævnt	B-verb.communication	
84-12	det	O	
84-13	.	O	

#id=85
#text=Ihar fat i noget af det rigtige!
85-1	I	O	
85-2	har	B-verb.cognition	
85-3	fat	B-verb.COLL	
85-4	i	B-verb.COLL	
85-5	noget	O	
85-6	af	O	
85-7	det	O	
85-8	rigtige	B-adj.all	
85-9	!	O	

#id=86
#text=Har bare lært at være ret skeptisk, især når der er andre, som er det....
86-1	Har	O	
86-2	bare	O	
86-3	lært	B-verb.cognition	
86-4	at	O	
86-5	være	B-verb.stative	
86-6	ret	O	
86-7	skeptisk	B-adj.mental	
86-8	,	O	
86-9	især	O	
86-10	når	O	
86-11	der	O	
86-12	er	B-verb.stative	
86-13	andre	O	
86-14	,	O	
86-15	som	O	
86-16	er	B-verb.stative	
86-17	det	O	
86-18	.	O	
86-19	.	O	
86-20	.	O	
86-21	.	O	

#id=87
#text=hørerdet meste... men likker i hevy hjørnet lige for tiden... men er ikke bleg for at høre film soundtrages... sår som fra gladiator og ligende. men hører som sagt næsten alt... afhængi sf stemning og humør ..
87-1	hører	B-verb.perception	
87-2	det	O	
87-3	meste	O	
87-4	.	O	
87-5	.	O	
87-6	.	O	
87-7	men	O	
87-8	likker	B-verb.stative	
87-9	i	O	
87-10	hevy	B-noun.domain	
87-11	hjørnet	I-noun.domain	
87-12	lige	O	
87-13	for	O	
87-14	tiden	B-noun.time	
87-15	.	O	
87-16	.	O	
87-17	.	O	
87-18	men	O	
87-19	er	B-verb.stative	
87-20	ikke	O	
87-21	bleg	B-verb.COLL	
87-22	for	B-verb.COLL	
87-23	at	O	
87-24	høre	B-verb.perception	
87-25	film	B-noun.communication	
87-26	soundtrages	I-noun.communication	
87-27	.	O	
87-28	.	O	
87-29	.	O	
87-30	sår	O	
87-31	som	O	
87-32	fra	O	
87-33	gladiator	B-noun.communication	
87-34	og	O	
87-35	ligende	O	
87-36	.	O	
87-37	men	O	
87-38	hører	B-verb.perception	
87-39	som	O	
87-40	sagt	O	
87-41	næsten	O	
87-42	alt	O	
87-43	.	O	
87-44	.	O	
87-45	.	O	
87-46	afhængi	O	
87-47	sf	O	
87-48	stemning	B-noun.state	
87-49	og	O	
87-50	humør	B-noun.feeling	
87-51	.	O	
87-52	.	O	

#id=88
#text=YePDet gør jeg....Tager bare sygelig langt tid...Men det er Det Værd :D
88-1	YeP	O	
88-2	Det	O	
88-3	gør	B-verb.act	
88-4	jeg	O	
88-5	.	O	
88-6	.	O	
88-7	.	O	
88-8	.	O	
88-9	Tager	B-verb.aspectual	
88-10	bare	O	
88-11	sygelig	O	
88-12	langt	B-adj.time	
88-13	tid	B-verb.COLL	
88-14	.	O	
88-15	.	O	
88-16	.	O	
88-17	Men	O	
88-18	det	O	
88-19	er	B-verb.stative	
88-20	Det	O	
88-21	Værd	O	
88-22	:	O	
88-23	D	O	

#id=89
#text=Kigger nok lige derind i morgen.
89-1	Kigger	B-verb.perception	
89-2	nok	O	
89-3	lige	O	
89-4	derind	O	
89-5	i	O	
89-6	morgen	B-noun.time	
89-7	.	O	

#id=90
#text=You will need to increase ;the screen resolution to at least 640x480 for  these modes. ;0 - off ;1 - diagonal edge detection ;2 - bilinear filtering ;3 - horizontal scanlines DoubleRes = 0 og ændre "DoubleRes = 0" til "DoubleRes = 1" du kan også bare prøve dig frem til det ser godt ud, men det er sådan at jeg har sat min.
90-1	You	O	
90-2	will	O	
90-3	need	O	
90-4	to	O	
90-5	increase	O	
90-6	;	O	
90-7	the	O	
90-8	screen	O	
90-9	resolution	O	
90-10	to	O	
90-11	at	O	
90-12	least	O	
90-13	640x480	O	
90-14	for	O	
90-15	these	O	
90-16	modes	O	
90-17	.	O	
90-18	;	O	
90-19	0	O	
90-20	-	O	
90-21	off	O	
90-22	;	O	
90-23	1	O	
90-24	-	O	
90-25	diagonal	O	
90-26	edge	O	
90-27	detection	O	
90-28	;	O	
90-29	2	O	
90-30	-	O	
90-31	bilinear	O	
90-32	filtering	O	
90-33	;	O	
90-34	3	O	
90-35	-	O	
90-36	horizontal	O	
90-37	scanlines	O	
90-38	DoubleRes	O	
90-39	=	O	
90-40	0	O	
90-41	og	O	
90-42	ændre	O	
90-43	"	O	
90-44	DoubleRes	O	
90-45	=	O	
90-46	0	O	
90-47	"	O	
90-48	til	O	
90-49	"	O	
90-50	DoubleRes	O	
90-51	=	O	
90-52	1	O	
90-53	"	O	
90-54	du	O	
90-55	kan	O	
90-56	også	O	
90-57	bare	O	
90-58	prøve	B-verb.act	
90-59	dig	B-verb.REFLPRON	
90-60	frem	B-verb.PARTICLE	
90-61	til	O	
90-62	det	O	
90-63	ser	B-verb.perception	
90-64	godt	O	
90-65	ud	O	
90-66	,	O	
90-67	men	O	
90-68	det	O	
90-69	er	B-verb.stative	
90-70	sådan	O	
90-71	at	O	
90-72	jeg	O	
90-73	har	O	
90-74	sat	B-verb.act	
90-75	min	O	
90-76	.	O	

#id=91
#text=Så sætter jeg ikke mere i dag.
91-1	Så	O	
91-2	sætter	B-verb.act	
91-3	jeg	O	
91-4	ikke	O	
91-5	mere	O	
91-6	i	O	
91-7	dag	B-noun.time	
91-8	.	O	

#id=92
#text=Da det gik op for mig at O'et manglede faldt jeg ned igen.
92-1	Da	O	
92-2	det	O	
92-3	gik	B-verb.cognition	
92-4	op	B-verb.PARTICLE	
92-5	for	B-verb.COLL	
92-6	mig	O	
92-7	at	O	
92-8	O	O	
92-9	'	O	
92-10	et	O	
92-11	manglede	B-verb.act	
92-12	faldt	B-verb.emotion	
92-13	jeg	O	
92-14	ned	B-verb.PARTICLE	
92-15	igen	O	
92-16	.	O	

#id=93
#text=Blandt andet:
93-1	Blandt	O	
93-2	andet	O	
93-3	:	O	

#id=94
#text=Overklasseduks???
94-1	Overklasseduks	B-noun.person	
94-2	?	O	
94-3	?	O	
94-4	?	O	

#id=95
#text=:D
95-1	:	O	
95-2	D	O	

#id=96
#text=Men så er det jo godt at du kan tysk!!!
96-1	Men	O	
96-2	så	O	
96-3	er	B-verb.stative	
96-4	det	O	
96-5	jo	O	
96-6	godt	B-adj.all	
96-7	at	O	
96-8	du	O	
96-9	kan	B-verb.communication	
96-10	tysk	B-noun.domain	
96-11	!	O	
96-12	!	O	
96-13	!	O	

#id=97
#text=Jeg har ikke selv fået læst den endnu, men har kigget en vens igennem.
97-1	Jeg	O	
97-2	har	O	
97-3	ikke	O	
97-4	selv	O	
97-5	fået	O	
97-6	læst	B-verb.cognition	
97-7	den	O	
97-8	endnu	O	
97-9	,	O	
97-10	men	O	
97-11	har	O	
97-12	kigget	B-verb.perception	
97-13	en	O	
97-14	vens	B-noun.person	
97-15	igennem	B-verb.PARTICLE	
97-16	.	O	

#id=98
#text=Som sagt er Berserk meget voldelig, og den befinder sig lige på grænsen til hentai.
98-1	Som	O	
98-2	sagt	O	
98-3	er	B-verb.stative	
98-4	Berserk	B-noun.communication	
98-5	meget	O	
98-6	voldelig	B-adj.all	
98-7	,	O	
98-8	og	O	
98-9	den	O	
98-10	befinder	B-verb.stative	
98-11	sig	B-verb.REFLPRON	
98-12	lige	O	
98-13	på	O	
98-14	grænsen	B-noun.relation	
98-15	til	O	
98-16	hentai	B-noun.communication	
98-17	.	O	

#id=99
#text=Så jeg er frik nok :)
99-1	Så	O	
99-2	jeg	O	
99-3	er	B-verb.stative	
99-4	frik	B-adj.mental	
99-5	nok	O	
99-6	:	O	
99-7	)	O	

#id=100
