 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Deres smil og glade ansigter rammer lige i hjertet.
1-1	Deres	deres	PO:#--#:--:-3np	
22-20	.	.	ZP	

#id=23
#text=Det hænder dog også, at sådanne vagter på et tidspunkt får medlidenhed med den tynde særling og helt bevidst sætter sig til at spille kort i et hjørne fjernt fra sultekunstnerens bur, så han kan få mulighed for at luske lidt mad i sig uden at tabe ansigt.
23-1	Det	det	PP:s-un:--:-3n-	
23-2	hænder	hænde	VF:----:sa:----	
23-3	dog	dog	D-:----:--:u---	
23-4	også	også	D-:----:--:u---	
23-5	,	,	ZD	
23-6	at	at	CS:----:--:----	
23-7	sådanne	sådan	AC:p#u#:--:p---	
23-8	vagter	vagt	NC:piu#:--:----	
23-9	på	på	T-:----:--:----	
23-10	et	en	PI:s-un:--:----	
23-11	tidspunkt	tidspunkt	NC:siun:--:----	
23-12	får	få	VF:----:sa:----	
23-13	medlidenhed	medlidenhed	NC:siuc:--:----	
23-14	med	med	T-:----:--:----	
23-15	den	den	PM:s-uc:--:----	
23-16	tynde	tynd	AC:sdu#:--:p---	
23-17	særling	særling	NC:siuc:--:----	
23-18	og	og	CC:----:--:----	
23-19	helt	hel	AD:----:--:p---	
23-20	bevidst	bevidst	AC:siu§:--:p---	
23-21	sætter	sætte	VF:----:sa:----	
23-22	sig	sig	PP:#-u#:--:-3y-	
23-23	til	til	T-:----:--:----	
23-24	at	at	UI:----:--:----	
23-25	spille	spille	VI:----:-a:----	
23-26	kort	kort	AD:----:--:p---	
23-27	i	i	T-:----:--:----	
23-28	et	en	PI:s-un:--:----	
23-29	hjørne	hjørne	NC:siun:--:----	
23-30	fjernt	fjern	AD:----:--:p---	
23-31	fra	fra	T-:----:--:----	
23-32	sultekunstnerens	sultekunstner	NC:sdgc:--:----	
23-33	bur	bur	NC:siun:--:----	
23-34	,	,	ZD	
23-35	så	så	CS:----:--:----	
23-36	han	han	PP:s-nc:--:-3n-	
23-37	kan	kunne	VF:----:sa:----	
23-38	få	få	VI:----:-a:----	
23-39	mulighed	mulighed	NC:siuc:--:----	
23-40	for	for	T-:----:--:----	
23-41	at	at	UI:----:--:----	
23-42	luske	luske	VI:----:-a:----	
23-43	lidt	lidt	AC:siu§:--:p---	
23-44	mad	mad	NC:siuc:--:----	
23-45	i	i	T-:----:--:----	
23-46	sig	sig	PP:#-u#:--:-3y-	
23-47	uden	uden	T-:----:--:----	
23-48	at	at	UI:----:--:----	
23-49	tabe	tabe	VI:----:-a:----	
23-50	ansigt	ansigt	NC:siun:--:----	
23-51	.	.	ZP	

#id=24
#text=Den indledende beskrivelse af Andreotti og hans kroniske migræne ledsages af et billede, hvor Andreotti står bag en lampe, der akkurat dækker hans ansigt og blænder tilskueren som dels en morsom leg med dimensionerne, dels en effektfuld illustration af Andreottis hovedpine.
24-1	Den	den	PM:s-uc:--:----	
24-2	indledende	indlede	VP:##u#:s-:----	
24-3	beskrivelse	beskrivelse	NC:siuc:--:----	
24-4	af	af	T-:----:--:----	
24-5	Andreotti	Andreotti	NP:siu#:--:----	
24-6	og	og	CC:----:--:----	
24-7	hans	hans	PO:#--#:--:-3ns	
24-8	kroniske	kronisk	AC:sdu#:--:p---	
24-9	migræne	migræne	NC:siuc:--:----	
24-10	ledsages	ledsage	VF:----:sp:----	
24-11	af	af	T-:----:--:----	
24-12	et	en	PI:s-un:--:----	
24-13	billede	billede	NC:siun:--:----	
24-14	,	,	ZD	
24-15	hvor	hvor	D-:----:--:u---	
24-16	Andreotti	Andreotti	NP:siu#:--:----	
24-17	står	stå	VF:----:sa:----	
24-18	bag	bag	T-:----:--:----	
24-19	en	en	PI:s-uc:--:----	
24-20	lampe	lampe	NC:siuc:--:----	
24-21	,	,	ZD	
24-22	der	der	US:----:--:----	
24-23	akkurat	akkurat	D-:----:--:u---	
24-24	dækker	dække	VF:----:sa:----	
24-25	hans	hans	PO:#--#:--:-3ns	
24-26	ansigt	ansigt	NC:siun:--:----	
24-27	og	og	CC:----:--:----	
24-28	blænder	blænde	VF:----:sa:----	
24-29	tilskueren	tilskuer	NC:sduc:--:----	
24-30	som	som	US:----:--:----	
24-31	dels	dels	D-:----:--:u---	
24-32	en	en	PI:s-uc:--:----	
24-33	morsom	morsom	AC:siuc:--:p---	
24-34	leg	leg	NC:siuc:--:----	
24-35	med	med	T-:----:--:----	
24-36	dimensionerne	dimension	NC:pdu#:--:----	
24-37	,	,	ZD	
24-38	dels	dels	D-:----:--:u---	
24-39	en	en	PI:s-uc:--:----	
24-40	effektfuld	effektfuld	AC:siuc:--:p---	
24-41	illustration	illustration	NC:siuc:--:----	
24-42	af	af	T-:----:--:----	
24-43	Andreottis	Andreottis	NP:sig#:--:----	
24-44	hovedpine	hovedpine	NC:siuc:--:----	
24-45	.	.	ZP	

#id=25
#text=På sin side er Ryan Reynolds en gave som hunk i en romantisk komedie, fordi det unge talent med det forpjuskede udtryk i ansigtet endnu ikke er forfalden til den selvfedme, genrens øvrige førsteelskere er så hurtige til at udvikle.
25-1	På	på	T-:----:--:----	
25-2	sin	sin	PO:s--c:--:-3ys	
25-3	side	side	:--:----	
25-4	er	være	VF:----:sa:----	
25-5	Ryan	Ryan	NP:siu#:--:----	
25-6	Reynolds	Reynolds	NP:siu#:--:----	
25-7	en	en	PI:s-uc:--:----	
25-8	gave	gave	NC:siuc:--:----	
25-9	som	som	XY:----:--:----	
25-10	hunk	hunk	XS:----:--:----	
25-11	i	i	T-:----:--:----	
25-12	en	en	PI:s-uc:--:----	
25-13	romantisk	romantisk	AC:siu§:--:p---	
25-14	komedie	komedie	NC:siuc:--:----	
25-15	,	,	ZD	
25-16	fordi	fordi	CS:----:--:----	
25-17	det	den	PM:s-un:--:----	
25-18	unge	ung	AC:sdu#:--:p---	
25-19	talent	talent	NC:siun:--:----	
25-20	med	med	T-:----:--:----	
25-21	det	den	PM:s-un:--:----	
25-22	forpjuskede	forpjusket	AC:sdu#:--:p---	
25-23	udtryk	udtryk	NC:siun:--:----	
25-24	i	i	T-:----:--:----	
25-25	ansigtet	ansigt	NC:sdun:--:----	
25-26	endnu	endnu	D-:----:--:u---	
25-27	ikke	ikke	:--:u---	
25-28	er	være	VF:----:sa:----	
25-29	forfalden	forfalden	NP:siu#:--:----	
25-30	til	til	T-:----:--:----	
25-31	den	den	PM:s-uc:--:----	
25-32	selvfedme	selvfedme	NC:siuc:--:----	
25-33	,	,	ZD	
25-34	genrens	genre	NC:sdgc:--:----	
25-35	øvrige	øvrig	AC:p#u#:--:p---	
25-36	førsteelskere	førsteelsker	NC:piu#:--:----	
25-37	er	være	VF:----:sa:----	
25-38	så	så	D-:----:--:u---	
25-39	hurtige	hurtig	AC:p#u#:--:p---	
25-40	til	til	T-:----:--:----	
25-41	at	at	UI:----:--:----	
25-42	udvikle	udvikle	VI:----:-a:----	
25-43	.	.	ZP	

#id=26
#text=Det var  lige meget, om man kunne se Fatimas ansigt.
26-1	Det	det	PP:s-un:--:-3n-	
26-2	var	være	VF:----:ta:----	
26-3	lige	lige	D-:----:--:u---	
26-4	meget	megen	AD:----:--:p---	
26-5	,	,	ZD	
26-6	om	om	CS:----:--:----	
26-7	man	man	PI:#-uc:--:----	
26-8	kunne	kunne	VF:----:ta:----	
26-9	se	se	VI:----:-a:----	
26-10	Fatimas	Fatimas	NP:sig#:--:----	
26-11	ansigt	ansigt	NC:siun:--:----	
26-12	.	.	ZP	

#id=27
#text=De radikales integrationsordfører, Morten Østergaard, er stærkt utilfreds med det,  han kalder en "overdrevet voldsom aktion i nattens mulm og mørke", men opfatter alligevel ikke undersøgelsens resultat som et slag i ansigtet.
27-1	De	den	PM:p-u#:--:----	
27-2	radikales	radikal	AC:p#g#:--:p---	
27-3	integrationsordfører	integrationsordfører	NC:siuc:--:----	
27-4	,	,	ZD	
27-5	Morten	Morten	NP:siu#:--:----	
27-6	Østergaard	Østergaard	NP:siu#:--:----	
27-7	,	,	ZD	
27-8	er	være	VF:----:sa:----	
27-9	stærkt	stærk	AD:----:--:p---	
27-10	utilfreds	utilfreds	AD:----:--:p---	
27-11	med	med	T-:----:--:----	
27-12	det	det	PP:s-un:--:-3n-	
27-13	,	,	ZD	
27-14	han	han	PP:s-nc:--:-3n-	
27-15	kalder	kalde	VF:----:sa:----	
27-16	en	en	PI:s-uc:--:----	
27-17	"	"	ZI	
27-18	overdrevet	overdrevet	AC:siu§:--:p---	
27-19	voldsom	voldsom	AC:siuc:--:p---	
27-20	aktion	aktion	NC:siuc:--:----	
27-21	i	i	T-:----:--:----	
27-22	nattens	nat	NC:sdgc:--:----	
27-23	mulm	mulm	NC:siun:--:----	
27-24	og	og	CC:----:--:----	
27-25	mørke	mørke	VI:----:-a:----	
27-26	"	"	ZI	
27-27	,	,	ZD	
27-28	men	men	CC:----:--:----	
27-29	opfatter	opfatte	VF:----:sa:----	
27-30	alligevel	alligevel	D-:----:--:u---	
27-31	ikke	ikke	D-:----:--:u---	
27-32	undersøgelsens	undersøgelse	NC:sdgc:--:----	
27-33	resultat	resultat	NC:siun:--:----	
27-34	som	som	US:----:--:----	
27-35	et	en	PI:s-un:--:----	
27-36	slag	slag	NC:siun:--:----	
27-37	i	i	T-:----:--:----	
27-38	ansigtet	ansigt	NC:sdun:--:----	
27-39	.	.	ZP	

#id=28
#text= Men selv om både øjnene, munden og den medtagede næse ligner til forveksling, er busten ikke modelleret efter den afdøde popkonges ansigt, forsikrer museumsdirektør Jim Phillips på Field Museum i Chicago, hvor den 3.000-årige skulptur har prydet den egyptiske samling siden 1988.
28-1	Men	men	CC:----:--:----	
28-2	selv	selv	D-:----:--:u---	
28-3	om	om	T-:----:--:----	
28-4	både	både	D-:----:--:u---	
28-5	øjnene	øje	NC:pdu#:--:----	
28-6	,	,	ZD	
28-7	munden	mund	NC:sduc:--:----	
28-8	og	og	CC:----:--:----	
28-9	den	den	PM:s-uc:--:----	
28-10	medtagede	medtagen	AC:sdu#:--:p---	
28-11	næse	næse	NC:siuc:--:----	
28-12	ligner	ligne	VF:----:sa:----	
28-13	til	til	T-:----:--:----	
28-14	forveksling	forveksling	NC:siuc:--:----	
28-15	,	,	ZD	
28-16	er	være	VF:----:sa:----	
28-17	busten	buste	NC:sduc:--:----	
28-18	ikke	ikke	D-:----:--:u---	
28-19	modelleret	modellere	VT:siu#:t-:----	
28-20	efter	efter	T-:----:--:----	
28-21	den	den	PM:s-uc:--:----	
28-22	afdøde	afdød	AC:sdu#:--:p---	
28-23	popkonges	popkonge	NC:sigc:--:----	
28-24	ansigt	ansigt	NC:siun:--:----	
28-25	,	,	ZD	
28-26	forsikrer	forsikre	VF:----:sa:----	
28-27	museumsdirektør	museumsdirektør	NC:siuc:--:----	
28-28	Jim	Jim	NP:siu#:--:----	
28-29	Phillips	Phillips	NP:siu#:--:----	
28-30	på	på	T-:----:--:----	
28-31	Field	Field	NP:siu#:--:----	
28-32	Museum	museum	NC:siun:--:----	
28-33	i	i	T-:----:--:----	
28-34	Chicago	Chicago	NP:siu#:--:----	
28-35	,	,	ZD	
28-36	hvor	hvor	D-:----:--:u---	
28-37	den	den	PM:s-uc:--:----	
28-38	3	3	LO:--u#:--:----	
28-39	.	.	ZP	
28-40	000	000	LC:--u-:--:----	
28-41	-	-	ZH	
28-42	årige	årig	AC:sdu#:--:p---	
28-43	skulptur	skulptur	NC:siuc:--:----	
28-44	har	have	VF:----:sa:----	
28-45	prydet	pryde	VT:siu#:t-:----	
28-46	den	den	PM:s-uc:--:----	
28-47	egyptiske	egyptisk	AC:sdu#:--:p---	
28-48	samling	samling	NC:siuc:--:----	
28-49	siden	siden	T-:----:--:----	
28-50	1988	1988	LC:--u-:--:----	
28-51	.	.	ZP	

#id=29
#text= Det allerværste var mimikken - sælunger har samme mimik som abeunger - så på den to kilometer lange tur langs stranden kunne jeg i dens ansigt aflæse alle dens håb, forventninger og til sidst skuffelser, når den fandt ud af, at der heller ikke var en livgivende dievorte oppe i min armhule.
29-1	Det	den	PM:s-un:--:----	
29-2	allerværste	allerværst	AC:sdu#:--:p---	
29-3	var	være	----	
29-4	mimikken	mimik	NW:----:--:----	
29-5	-	-	ZH	
29-6	sælunger	sælunge	NC:piu#:--:----	
29-7	har	have	VF:----:sa:----	
29-8	samme	samme	AC:§§u§:--:p---	
29-9	mimik	mimik	NC:siuc:--:----	
29-10	som	som	US:----:--:----	
29-11	abeunger	abeunge	NW:----:--:----	
29-12	-	-	ZH	
29-13	så	så	D-:----:--:u---	
29-14	på	på	T-:----:--:----	
29-15	den	den	PM:s-uc:--:----	
29-16	to	to	LC:--u-:--:----	
29-17	kilometer	kilometer	NC:piu#:--:----	
29-18	lange	lang	AC:sdu#:--:p---	
29-19	tur	tur	NC:siuc:--:----	
29-20	langs	langs	T-:----:--:----	
29-21	stranden	strand	NC:sduc:--:----	
29-22	kunne	kunne	VF:----:ta:----	
29-23	jeg	jeg	PP:s-nc:--:-1n-	
29-24	i	i	T-:----:--:----	
29-25	dens	dens	PO:#--#:--:-3ns	
29-26	ansigt	ansigt	NC:siun:--:----	
29-27	aflæse	aflæse	VI:----:-a:----	
29-28	alle	al	PI:p-u#:--:----	
29-29	dens	dens	PO:#--#:--:-3ns	
29-30	håb	håb	NC:siun:--:----	
29-31	,	,	ZD	
29-32	forventninger	forventning	NC:piu#:--:----	
29-33	og	og	CC:----:--:----	
29-34	til	til	T-:----:--:----	
29-35	sidst	sidst	D-:----:--:u---	
29-36	skuffelser	skuffelse	NC:piu#:--:----	
29-37	,	,	ZD	
29-38	når	når	CS:----:--:----	
29-39	den	den	PP:s-uc:--:-3n-	
29-40	fandt	finde	VF:----:ta:----	
29-41	ud	ud	D-:----:--:u---	
29-42	af	af	T-:----:--:----	
29-43	,	,	ZD	
29-44	at	at	CS:----:--:----	
29-45	der	der	US:----:--:----	
29-46	heller	heller	D-:----:--:u---	
29-47	ikke	ikke	D-:----:--:u---	
29-48	var	være	VF:----:ta:----	
29-49	en	en	PI:s-uc:--:----	
29-50	livgivende	livgivende	AC:§§u§:--:p---	
29-51	dievorte	dievorte	NC:siuc:--:----	
29-52	oppe	oppe	D-:----:--:u---	
29-53	i	i	T-:----:--:----	
29-54	min	min	PO:s--c:--:-1ns	
29-55	armhule	armhule	NC:siuc:--:----	
29-56	.	.	ZP	

#id=30
#text="Det var et chok og et slag i ansigtet.
30-1	"	"	ZI	
30-2	Det	det	PP:s-un:--:-3n-	
30-3	var	være	VF:----:ta:----	
30-4	et	en	PI:s-un:--:----	
30-5	chok	chok	NC:siun:--:----	
30-6	og	og	CC:----:--:----	
30-7	et	en	PI:s-un:--:----	
30-8	slag	slag	NC:siun:--:----	
30-9	i	i	T-:----:--:----	
30-10	ansigtet	ansigt	NC:sdun:--:----	
30-11	.	.	ZP	

#id=31
#text= Derfor føltes det som en våd klud i ansigtet, da de åbnede avisen og kunne konstatere, at deres egen næstformand ikke tror på dem.
31-1	Derfor	derfor	D-:----:--:u---	
31-2	føltes	føle	VF:----:tp:----	
31-3	det	det	PP:s-un:--:-3n-	
31-4	som	som	US:----:--:----	
31-5	en	en	PI:s-uc:--:----	
31-6	våd	våd	AC:siuc:--:p---	
31-7	klud	klud	NC:siuc:--:----	
31-8	i	i	T-:----:--:----	
31-9	ansigtet	ansigt	NC:sdun:--:----	
31-10	,	,	ZD	
31-11	da	da	CS:----:--:----	
31-12	de	de	PP:p-n#:--:-3n-	
31-13	åbnede	åbne	VF:----:ta:----	
31-14	avisen	avis	NC:sduc:--:----	
31-15	og	og	CC:----:--:----	
31-16	kunne	kunne	VF:----:ta:----	
31-17	konstatere	konstatere	VI:----:-a:----	
31-18	,	,	ZD	
31-19	at	at	CS:----:--:----	
31-20	deres	deres	PO:#--#:--:-3np	
31-21	egen	egen	AC:s§uc:--:p---	
31-22	næstformand	næstformand	NC:siuc:--:----	
31-23	ikke	ikke	D-:----:--:u---	
31-24	tror	tro	VF:----:sa:----	
31-25	på	på	T-:----:--:----	
31-26	dem	de	PP:p-u#:--:-3n-	
31-27	.	.	ZP	

#id=32
#text= Ansigtet er smukt, kroppen ekstremt veltrænet og energien på toppen, som vil hun overbevise os om, at alder ingen rolle spiller.
32-1	Ansigtet	ansigt	NC:sdun:--:----	
32-2	er	være	VF:----:sa:----	
32-3	smukt	smuk	AC:siun:--:p---	
32-4	,	,	ZD	
32-5	kroppen	krop	NC:sduc:--:----	
32-6	ekstremt	ekstrem	AD:----:--:p---	
32-7	veltrænet	veltrænet	AD:----:--:p---	
32-8	og	og	CC:----:--:----	
32-9	energien	energi	NC:sduc:--:----	
32-10	på	på	T-:----:--:----	
32-11	toppen	top	NC:sduc:--:----	
32-12	,	,	ZD	
32-13	som	som	US:----:--:----	
32-14	vil	ville	VF:----:sa:----	
32-15	hun	hun	PP:s-nc:--:-3n-	
32-16	overbevise	overbevise	VI:----:-a:----	
32-17	os	vi	PP:p-uc:--:-1#-	
32-18	om	om	T-:----:--:----	
32-19	,	,	ZD	
32-20	at	at	CS:----:--:----	
32-21	alder	alder	NC:siuc:--:----	
32-22	ingen	ingen	PI:s-uc:--:----	
32-23	rolle	rolle	NC:siuc:--:----	
32-24	spiller	spille	VF:----:sa:----	
32-25	.	.	ZP	

#id=33
#text=Mener man, at man i kraft af sit ansigt (eller sit øvrige udseende) så afgjort havde fortjent en  plads på rollelisten i en Fellinifilm, kan man sende sit billede ind til konkurrencen - alt det praktiske vender vi tilbage til.
33-1	Mener	mene	VF:----:sa:----	
33-2	man	man	PI:#-uc:--:----	
33-3	,	,	ZD	
33-4	at	at	CS:----:--:----	
33-5	man	man	PI:#-uc:--:----	
33-6	i	i	T-:----:--:----	
33-7	kraft	kraft	NC:siuc:--:----	
33-8	af	af	T-:----:--:----	
33-9	sit	sin	PO:s--n:--:-3ys	
33-10	ansigt	ansigt	NC:siun:--:----	
33-11	(	(	ZD	
33-12	eller	eller	CC:----:--:----	
33-13	sit	sin	PO:s--n:--:-3ys	
33-14	øvrige	øvrig	AC:sdu#:--:p---	
33-15	udseende	udseende	NC:siun:--:----	
33-16	)	)	ZD	
33-17	så	så	D-:----:--:u---	
33-18	afgjort	afgøre	VT:siu#:t-:----	
33-19	havde	have	VF:----:ta:----	
33-20	fortjent	fortjene	VT:siu#:t-:----	
33-21	en	en	PI:s-uc:--:----	
33-22	plads	plads	NC:siuc:--:----	
33-23	på	på	T-:----:--:----	
33-24	rollelisten	rolleliste	NC:sduc:--:----	
33-25	i	i	T-:----:--:----	
33-26	en	en	PI:s-uc:--:----	
33-27	Fellinifilm	Fellinifilm	:siu#:--:----	
33-28	,	,	ZD	
33-29	kan	kunne	VF:----:sa:----	
33-30	man	man	PI:#-uc:--:----	
33-31	sende	sende	VI:----:-a:----	
33-32	sit	sin	PO:s--n:--:-3ys	
33-33	billede	billede	NC:siun:--:----	
33-34	ind	ind	D-:----:--:u---	
33-35	til	til	T-:----:--:----	
33-36	konkurrencen	konkurrence	NW:----:--:----	
33-37	-	-	ZH	
33-38	alt	alt	D-:----:--:u---	
33-39	det	den	PM:s-un:--:----	
33-40	praktiske	praktisk	AC:sdu#:--:p---	
33-41	vender	vende	VF:----:sa:----	
33-42	vi	vi	PP:p-nc:--:-1n-	
33-43	tilbage	tilbage	D-:----:--:u---	
33-44	til	til	T-:----:--:----	
33-45	.	.	ZP	

#id=34
#text="Naturligvis skulle jeg have haft karantæne, hvis jeg havde stået og svinet ham direkte op i ansigtet med diverse grimme gloser.
34-1	"	"	ZI	
34-2	Naturligvis	naturligvis	D-:----:--:u---	
34-3	skulle	skulle	VF:----:ta:----	
34-4	jeg	jeg	PP:s-nc:--:-1n-	
34-5	have	have	VI:----:-a:----	
34-6	haft	have	VT:siu#:t-:----	
34-7	karantæne	karantæne	NC:siuc:--:----	
34-8	,	,	ZD	
34-9	hvis	hvis	CS:----:--:----	
34-10	jeg	jeg	PP:s-nc:--:-1n-	
34-11	havde	have	VF:----:ta:----	
34-12	stået	stå	VT:siu#:t-:----	
34-13	og	og	CC:----:--:----	
34-14	svinet	svine	VT:siu#:t-:----	
34-15	ham	han	PP:s-uc:--:-3n-	
34-16	direkte	direkte	AD:----:--:p---	
34-17	op	op	D-:----:--:u---	
34-18	i	i	T-:----:--:----	
34-19	ansigtet	ansigt	NC:sdun:--:----	
34-20	med	med	T-:----:--:----	
34-21	diverse	diverse	AC:§§u§:--:p---	
34-22	grimme	grim	AC:p#u#:--:p---	
34-23	gloser	glose	NC:piu#:--:----	
34-24	.	.	ZP	

#id=35
#text=Resultatet viste, da langt de fleste af de 2.355 delegeredes stemmer var talt op, at yngre ansigter vil præge den nye ledelse i Fatah, som er det dominerende palæstinensiske parti på den besatte Vestbred.
35-1	Resultatet	resultat	NC:sdun:--:----	
35-2	viste	vise	VF:----:ta:----	
35-3	,	,	ZD	
35-4	da	da	CS:----:--:----	
35-5	langt	lang	AD:----:--:p---	
35-6	de	den	PM:p-u#:--:----	
35-7	fleste	mange	AC:p#u#:--:s---	
35-8	af	af	T-:----:--:----	
35-9	de	den	PM:p-u#:--:----	
35-10	2	2	LC:--u-:--:----	
35-11	.	.	ZP	
35-12	355	355	LC:--u-:--:----	
35-13	delegeredes	delegeret	NP:siu#:--:----	
35-14	stemmer	stemme	NC:piu#:--:----	
35-15	var	være	VF:----:ta:----	
35-16	talt	tale	VT:siu#:t-:----	
35-17	op	op	D-:----:--:u---	
35-18	,	,	ZD	
35-19	at	at	CS:----:--:----	
35-20	yngre	ung	AC:##u#:--:c---	
35-21	ansigter	ansigt	NC:piu#:--:----	
35-22	vil	ville	VF:----:sa:----	
35-23	præge	præge	VI:----:-a:----	
35-24	den	den	PM:s-uc:--:----	
35-25	nye	ny	AC:sdu#:--:p---	
35-26	ledelse	ledelse	NC:siuc:--:----	
35-27	i	i	T-:----:--:----	
35-28	Fatah	Fatah	NP:siu#:--:----	
35-29	,	,	ZD	
35-30	som	som	US:----:--:----	
35-31	er	være	VF:----:sa:----	
35-32	det	den	PM:s-un:--:----	
35-33	dominerende	dominere	VP:##u#:s-:----	
35-34	palæstinensiske	palæstinensisk	AC:sdu#:--:p---	
35-35	parti	parti	NC:siun:--:----	
35-36	på	på	T-:----:--:----	
35-37	den	den	PM:s-uc:--:----	
35-38	besatte	besætte	VP:sdu#:t-:----	
35-39	Vestbred	Vestbred	NP:siu#:--:----	
35-40	.	.	ZP	

